,ROOM,FLOR,AREA,TYPE,EVAL,PRIC,OLD,SUBC,SUBD,CEDT,DISC
259,2,2,91.44,1,1,92958,2009,3,558,5.16829113054429,3
260,1,1,60.75,2,1,116873,2004,3,630,2.817838974105503,3
261,3,1,146.12,1,1,109500,2004,2,899,5.342930227429744,3
262,2,1,73.18,2,0,115469,2003,3,474,2.07101530087905,3
263,3,2,105.71,0,1,121086,2002,1,161,3.375767683525626,3
264,3,1,91.17,2,1,109576,2004,2,374,2.6067357291019584,3
265,2,0,92.02,2,1,146708,2004,1,318,3.3502785806864814,3
266,3,1,79.67,1,1,116606,2009,1,186,4.686426573433995,3
267,3,2,104.9,0,1,112489,2007,3,471,2.4551854140521203,3
268,3,1,146.77,1,1,101861,2002,2,619,4.096723596327773,3
269,2,1,76.19,2,0,119045,1992,1,617,3.5155466167899356,3
270,1,2,64.05,0,1,96800,2004,1,639,4.236044397513366,3
271,1,1,67.94,2,1,96409,2004,1,905,5.215087631236927,3
272,2,0,54.32,2,0,112298,1979,3,434,1.589162992148523,3
273,1,2,49.45,2,1,125177,2009,1,186,4.686426573433995,3
274,2,0,58.25,2,0,90988,1991,2,686,4.2036283701092545,3
275,2,2,88.33,2,1,105967,2004,3,630,2.817838974105503,3
276,2,2,52.03,2,0,125313,1981,2,863,2.7422686911193646,3
277,1,0,51.12,1,1,115024,2009,1,186,4.686426573433995,3
278,1,2,60.84,0,1,108482,2006,4,696,2.690184324863224,3
279,2,0,76.42,2,1,103115,2003,1,606,2.989730548793862,3
280,1,1,45.43,2,1,96633,2005,2,206,5.177636114158356,3
281,2,0,75.24,0,1,132377,2002,1,664,4.134592529769408,3
282,2,1,68.38,2,0,111144,2003,3,474,2.07101530087905,3
283,3,1,69.54,0,1,109290,2006,3,471,2.4551854140521203,3
284,1,1,47.86,1,1,112830,2005,1,300,3.7370676329790466,3
285,1,1,75.51,2,1,124222,1999,1,722,3.062859635274981,3
286,2,1,74.36,0,1,84455,2000,2,519,4.449777215441797,3
