,ROOM,FLOR,AREA,TYPE,EVAL,PRIC,OLD,SUBC,SUBD,CEDT,DISC
202,3,1,114.87,1,1,73823,2004,2,927,17.60185614505095,6
203,3,1,167.49,0,1,112724,2003,1,930,7.84658143400031,6
204,1,1,47.1,2,0,100850,1997,1,864,12.215658353795266,6
205,2,1,84.86,0,1,147302,2002,2,718,10.669763362816258,6
206,1,2,43.5,1,1,122529,1986,1,950,8.216476215573149,6
207,1,1,45.5,2,0,103077,1996,1,828,5.662124013643746,6
208,2,2,54.13,1,1,98282,1982,1,260,7.301474270790083,6
209,3,0,94.13,2,0,86052,2011,1,664,19.2238695701705,6
210,3,0,58.9,2,0,99491,1983,1,393,10.916330126336504,6
211,2,2,60.9,2,0,90312,1994,1,841,10.063214913231251,6
212,2,1,74.29,1,1,86822,2010,1,359,10.536139499847447,6
213,2,2,87.45,0,1,84620,1997,1,409,12.129521476668199,6
214,3,1,145.76,0,0,95980,1999,1,862,15.637911244387814,6
215,3,1,175.09,2,1,159918,2000,2,726,10.885543279619927,6
216,3,1,144.53,0,1,105169,2003,2,346,9.894867321900577,6
217,3,1,96.7,2,0,80869,2000,1,789,11.779168676419246,6
218,3,0,77.4,2,0,102972,1993,2,725,9.784259300384605,6
219,3,0,76.3,2,0,95544,1989,2,665,6.134769369582114,6
220,1,0,48.52,0,1,36068,2009,1,993,20.338304203290726,6
221,3,2,114.71,2,0,41845,2001,1,967,25.03447108499071,6
222,3,2,126.15,2,1,49941,2011,2,830,23.248402353192976,6
223,4,1,153.49,2,0,40394,2000,1,901,25.28979053492935,6
224,2,1,65.82,2,0,43452,1999,1,258,23.493722178982907,6
225,2,0,87.41,1,1,54342,2014,1,716,24.516571644119566,6
226,2,1,87.02,2,1,44243,2005,3,560,24.645624815030388,6
227,3,2,143.37,1,1,48686,2005,1,341,22.179153413023222,6
228,3,1,125.34,2,1,62949,2005,2,807,25.280862717737925,6
229,3,0,121.49,0,1,36958,2004,1,381,19.242206401001614,6
230,3,1,120.96,2,1,44478,2005,3,560,24.645624815030388,6
231,3,1,127.94,2,1,50415,2005,1,993,20.338304203290726,6
232,2,1,53.79,2,0,39041,1981,1,587,22.638410113524593,6
233,2,0,92.31,2,1,48641,2003,1,257,24.529192621277208,6
234,2,1,93.3,1,1,49840,2011,2,830,23.248402353192976,6
235,2,1,102.89,1,1,41696,2004,1,520,20.828370230746263,6
236,2,0,93.84,2,1,44758,2005,1,993,20.338304203290726,6
237,2,0,101.52,2,0,43834,2002,1,684,20.803024638296982,6
238,3,1,122.54,2,1,48148,2005,1,416,21.231027333121926,6
239,2,2,92.39,2,1,55418,2004,1,504,24.787179151702997,6
240,2,1,100.6,2,0,43042,2004,2,732,21.5575286610923,6
241,1,2,61.23,1,1,44586,2009,2,335,23.638120485987383,6
242,2,1,89.55,1,1,59744,2015,1,716,24.516571644119566,6
243,3,0,122.63,2,0,40692,2004,1,660,20.182704399894337,6
244,3,0,148.01,1,1,45606,2010,2,861,23.199442112257202,6
245,3,0,134.98,2,0,48897,2005,1,967,25.209189544746142,6
246,3,1,124.76,2,0,39516,2004,1,198,20.537773676637165,6
247,2,0,101.38,2,0,47347,2005,1,144,24.854648138564226,6
248,1,1,46.11,2,0,43809,2004,1,944,20.79407025740454,6
249,2,0,98.26,2,1,40200,2011,3,515,24.80150623061706,6
250,2,2,91.64,1,1,54453,2011,1,716,24.516571644119566,6
251,2,1,90.33,1,1,51478,2016,2,525,24.72557749368384,6
252,2,0,98.32,1,1,45668,2004,1,795,23.66440938689388,6
253,2,1,70.88,2,0,33155,1997,1,533,23.7398223225769,6
254,3,2,69.54,2,0,34225,1983,1,997,13.089431172605147,6
255,1,2,59.76,2,0,42671,2000,1,901,25.28979053492935,6
256,2,1,101.41,2,1,38261,2010,1,725,23.600400192613577,6
257,1,2,73.57,0,1,40642,2004,2,453,20.26178524704923,6
258,2,1,77.19,1,1,36016,2007,1,594,24.98197574279754,6
259,2,1,99.17,2,1,39831,2006,1,725,23.600400192613577,6
260,1,2,67.26,1,1,41035,2008,1,692,23.55696315987786,6
261,1,0,49.71,0,1,42044,2018,2,389,22.31575963608289,6
262,1,1,44.8,2,0,46206,2004,1,660,20.182704399894337,6
263,1,1,53.68,0,1,38935,2009,1,993,20.338304203290726,6
264,1,1,42.99,2,0,52571,2004,1,803,21.280581957891588,6
265,1,2,46.24,1,1,55148,2006,1,985,24.072125197960112,6
266,2,1,80.6,2,0,50869,2002,1,257,24.529192621277208,6
267,2,2,91.4,2,1,43545,2012,1,489,22.890575264218057,6
268,2,1,84.44,2,0,46779,2003,1,740,19.808522817999133,6
269,1,1,65.09,1,1,59610,2011,1,716,24.516571644119566,6
